       1 1610 1613   210 HARRIOT T. OXFORD
       2 1611 1640   882 SCHEINER C. ROME
       3 1612 1612    51 GALILEO G. ROME
       4 1612 1612    37 GALILEO/SAKURAI ROME
       5 1612 1612    20 COLOGNA S. MONREALE
       6 1612 1613   104 JUNGIUS J. HAMBURG
       7 1612 1612    29 CIGOLI L.C. ROME
       8 1613 1614    51 COLONNA F. NAPLES
       9 1615 1617    69 TARDE J. FARLAT
      10 1616 1616    12 SAXONIUS P. NUREMBERG
      11 1617 1618   541 MARIUS S. NUREMBERG
      12 1618 1626   185 MALAPERT C. BELGIUM
      13 1618 1661   491 RICCIOLI J.B. BONONIA
      14 1621 1625    82 SMOGULECZ D. INGOLSTADT
      15 1621 1629     4 SCHICKARD W. TUBINGA
      16 1625 1625     1 HORTENSIUS M. LUGD. BATAV.
      17 1626 1629   126 MOGLING D. DARMSTADT
      18 1631 1645   709 GASSENDI P. PARIS
      19 1631 1631     1 QUIETANUS J.R. GERMANY
      20 1632 1632   366 ZAHN J. NUREMBERG
      21 1633 1635     2 OCTOUL AVENIONE
      22 1794 1795    55 FLAUGERGUES H. AUBENAS
      23 1638 1638     6 HORROX J. LIVERPOOL
      24 1638 1639   689 CRABTREE W. ENGLAND
      25 1642 1684  4186 HEVELIUS J. DANZIG
      26 1642 1642    13 RHEITA K. BOHEMIA
      27 1644 1644     1 LINEMANNS A. REGIOMONTUS
      28 1648 1648   113 UNKNOWN/KRAFT1745
      29 1652 1677    40 PETITUS P. PARIS
      30 1652 1654   275 UNKNOWN1/MAUNDER/JBAA
      31 1653 1659  2352 PICARD/KEILL PARIS
      32 1655 1655    13 UNKNOWN2/MAUNDER/JBAA
      33 1656 1695   466 CASSINI G.D. PARIS
      34 1656 1656    13 BOSE J.A. LEIPZIG
      35 1658 1672   273 MARALDI F. BONONIA
      36 1659 1661   234 MOUTON G. LYON
      37 1660 1660    14 BOYLE R. LONDON
      38 1660 1682  3697 PICARD J. PARIS
      39 1661 1671  3605 FOGEL M. HAMBURG
      40 1662 1664  1096 WEIGEL E. JENA
      41 1663 1695     6 MEZZAVACCA C. BONONIA
      42 1663 1670    66 MENGOLI P. BONONIA
      43 1666 1683     2 HUYGENS C. HAGUE
      44 1666 1666     1 PAYEN A.-F. AVIGNON
      45 1666 1666     1 WILLOUGHBY F. ENGLAND
      46 1666 1667   730 WEICKMANN C. GERMANY
      47 1667 1667     1 KIRCHER A. ROME
      48 1668 1675    90 FABRIUS A. BONONIA
      49 1671 1676   107 MONTANARI G. BONONIA
      50 1671 1690  5400 SIVERUS H. HAMBURG
      51 1671 1676     5 HOOK R. LONDON
      52 1671 1671    11 STETINI LEIPZIG
      53 1672 1673   130 RICHER CAYENNE
      54 1672 1676    20 LALANDE MEMOIRES PARIS
      55 1673 1673     1 MANZIUS D. BONONIA
      56 1674 1674    19 PICARD J. MONTPELLIER
      57 1674 1674    20 CALCINA J.C. BONONIA
      58 1675 1696   406 GULIELMINI J.F. BONONIA
      59 1676 1714  1500 FLAMSTEED J. CAMBRIDGE
      60 1676 1676     9 HALLEY E. LONDON
      61 1676 1676     2 MOORE J. LONDON (RS ARCHIVES)
      62 1676 1676     1 HAYNES CAMBRIDGE
      63 1677 1702  2325 EIMMART G.C. NUREMBERG
      64 1677 1677     7 HARTSOEKER N. THE HAGUE
      65 1678 1678     1 MACULA IN SOLE 1678
      66 1678 1710   481 KIRCH G. BERLIN
      67 1678 1684     9 ETTMULLER M.E. WITTENBERG
      68 1680 1680    23 PICARD J. BAYONNE
      69 1680 1687     3 IHLE J.A. BERLIN
      70 1681 1681    20 PICARD J. ENGLAND
      71 1681 1681    60 VARIN M.M. CAPE VERDE VOYAGE
      72 1681 1681     1 DESHAYES M. ROUEN
      73 1682 1718  7170 LA HIRE PH. PARIS
      74 1684 1684     2 CASWELL (R.S.) LONDON
      75 1684 1684    18 CLAUSEN F. KILONI
      76 1684 1718   952 WURZELBAUR J.P. NUREMBERG
      77 1686 1686     9 JESUITS CHINA
      78 1687 1689     2 SCHULTZ D.G. NUREMBERG
      79 1688 1736   497 MARALDI M. BONONIA
      80 1688 1693     5 ARNOLD C. BERLIN
      81 1689 1689   339 DECHALES M. LUGDUNI
      82 1690 1723     4 MENTZER B. HAMBURG
      83 1694 1703     2 BRATTLE T. BOSTON
      84 1695 1696    41 UCCELLI I. BONONIA
      85 1695 1699     2 MOEREN J.T. NUREMBERG
      86 1695 1707  1983 AGERHOLM C. COPENHAGEN
      87 1696 1702  1103 STANCARIUS V.F. BONONIA
      88 1697 1697    21 CASSINI G.D. FLANDERS
      89 1698 1698     9 CASSINI G.D. LONDON
      90 1699 1699     1 MEYER J. REGENSBURG
      91 1700 1709   214 CASSINI J. PARIS
      92 1701 1705    19 JARTOUX R.P. PEKING
      93 1702 1738   714 MANFREDI E. BONONIA
      94 1703 1704   141 EIMMART M-C. NUREMBERG
      95 1703 1727   130 BLANCHINI F. VERONA
      96 1703 1715  1613 DERHAM W. UPMINSTER
      97 1703 1703    22 HOFFMANN J.H. BERLIN
      98 1703 1713    80 GRAY S. CANTERBURY
      99 1703 1703    17 SHARP A. HORTON
     100 1703 1704    12 ROMER O. COPENHAGEN
     101 1703 1704    72 STANNYAN ENGLAND
     102 1704 1704     1 SALVAGO M. GENNES
     103 1704 1704     1 DE LA VAL P. MARSEILLE
     104 1704 1726   423 PLANTADE J. MONTPELLIER
     105 1704 1704     1 DE CLAPIER M. MONTPELLIER
     106 1704 1704     1 FULCHIRON P. LYON
     107 1704 1704     1 THYOLI LYON
     108 1705 1709    87 LALANDE HISTORIE PARIS
     109 1705 1709    80 MULLER J.H. NUREMBERG
     110 1706 1721     5 SCHEUCHZER J.J. ZURICH
     111 1706 1706     1 TORRE F. ARLES
     112 1707 1707     2 HERTEL C.T. BERLIN
     113 1707 1707     2 STURM L.C. BERLIN
     114 1708 1709   255 WIEDENBURG J.B. HELMSTADT
     115 1709 1722    59 FEUILLEE L.E. PARIS
     116 1709 1709     2 WOLF C. MAGDEBURG
     117 1709 1709   182 UNKNOWN3/MAUNDER/JBAA
     118 1710 1713   204 PARISIUS J.C. BONONIA
     119 1713 1715    58 KIRCH M.M. BERLIN
     120 1713 1735    39 DE L'ISLE J.N. PARIS
     121 1713 1713     5 UNKNOWN/LALANDE
     122 1715 1727     3 POLENI J. PADUA
     123 1715 1715     1 GESU P.A.B. PARMA
     124 1715 1715     1 FONTANA P.B.G. MODENA
     125 1716 1736   394 KIRCH C. BERLIN
     126 1716 1718     3 MULLER J.H. ALTORFII
     127 1716 1726   299 ROST J.L. NUREMBERG
     128 1718 1719   121 LA HIRE G. PARIS
     129 1718 1746     7 HALLERSTEIN A. PEKING
     130 1718 1718     1 WAGNER J.W. BERLIN
     131 1719 1727   524 ALISCHER J.L. JAUER
     132 1719 1720    45 MULLER J.C. PRAGUE
     133 1720 1736    14 SCHUTZ J.G. BERLIN
     134 1720 1720     5 LAVAL A.F. PARIS
     135 1720 1739    32 WEIDLER J.F. WITTENBERG
